Style,Price,MPG,Horsepower,Engine,CargoRoom_cu_ft,Torque_lb_ft,0-60,Top Speed,Curb Weight,Brand,Model,Year
ES 350 Sedan 4D,"$15,350",24 MPG,268 @ 6200 RPM,"V6, 3.5 Liter",15.2 cu ft,248 lb-ft,7.1 seconds,130 mph,3549 lbs,Lexus,Es,2015
ES 300h Sedan 4D,"$16,150",40 MPG,200 @ 5700 RPM,"4-Cyl, Hybrid, 2.5 Liter",12.1 cu ft,156 lb-ft,8.1 seconds,112 mph,3660 lbs,Lexus,Es,2015
ES 350 Crafted Line Sedan 4D,"$16,250",24 MPG,268 @ 6200 RPM,"V6, 3.5 Liter",NA,248 lb-ft,N/A,N/A,N/A,Lexus,Es,2015
ES 350 Sedan 4D,"$25,500",26 MPG,302 @ 6600 RPM,"V6, 3.5 Liter",16.7 cu ft,267 lb-ft,16.7 cu ft,267 lb-ft,3649 lbs,Lexus,Es,2020
ES 350 Luxury Sedan 4D,"$26,300",26 MPG,302 @ 6600 RPM,"V6, 3.5 Liter",16.7 cu ft,267 lb-ft,16.7 cu ft,267 lb-ft,3649 lbs,Lexus,Es,2020
ES 350 F SPORT Sedan 4D,"$27,000",25 MPG,302 @ 6600 RPM,"V6, 3.5 Liter",16.7 cu ft,267 lb-ft,16.7 cu ft,267 lb-ft,3649 lbs,Lexus,Es,2020
ES 300h Sedan 4D,"$26,800",44 MPG,215 @ 5700 RPM,"4-Cyl, Hybrid, 2.5 Liter",16.7 cu ft,163 lb-ft,16.7 cu ft,163 lb-ft,3704 lbs,Lexus,Es,2020
ES 300h Ultra Luxury Sedan 4D,"$29,100",44 MPG,215 @ 5700 RPM,"4-Cyl, Hybrid, 2.5 Liter",16.7 cu ft,163 lb-ft,16.7 cu ft,163 lb-ft,3704 lbs,Lexus,Es,2020
ES 300h Luxury Sedan 4D,"$29,200",44 MPG,215 @ 5700 RPM,"4-Cyl, Hybrid, 2.5 Liter",16.7 cu ft,163 lb-ft,16.7 cu ft,163 lb-ft,3704 lbs,Lexus,Es,2020
ES 350 Ultra Luxury Sedan 4D,"$30,300",26 MPG,302 @ 6600 RPM,"V6, 3.5 Liter",16.7 cu ft,267 lb-ft,16.7 cu ft,267 lb-ft,3649 lbs,Lexus,Es,2020
